COM;
 
List available comets:
 COM;
Continue [ <cr>=yes, n=no, ? ] : 
Searching ...   - \ | *******************************************************************************
JPL/DASTCOM3               Small-body Search Results       2011-Nov-27 22:48:29

 List available comets:                                                  
    COM;

 Matching small-bodies: 

    Record #  Epoch-yr  Primary Desig  Name                    
     900355     1967    26P             Grigg-Skjellerup       
     900356     1972    26P             Grigg-Skjellerup       
     900357     1977    26P             Grigg-Skjellerup       
     900358     1982    26P             Grigg-Skjellerup       
     900359     1987    26P             Grigg-Skjellerup       
     900360     1992    26P             Grigg-Skjellerup       
     900361     1997    26P             Grigg-Skjellerup       
     900362     2008    26P             Grigg-Skjellerup       
     900363     1818    27P             Crommelin              
     900364     1873    27P             Crommelin              
     900365     1928    27P             Crommelin              
     900366     1956    27P             Crommelin              
     900367     1984    27P             Crommelin              
     900368     2011    27P             Crommelin              
     900369     1913    28P             Neujmin 1              
     900370     1931    28P             Neujmin 1              
     900371     1949    28P             Neujmin 1              
     900372     1966    28P             Neujmin 1              
     900373     1984    28P             Neujmin 1              
     900374     2004    28P             Neujmin 1              
     900375     1908    29P             Schwassmann-Wachmann 1 
     900376     1925    29P             Schwassmann-Wachmann 1 
     900377     1941    29P             Schwassmann-Wachmann 1 
     900378     1957    29P             Schwassmann-Wachmann 1 
     900379     1974    29P             Schwassmann-Wachmann 1 
     900380     2011    29P             Schwassmann-Wachmann 1 
     900381     1928    30P             Reinmuth 1             
     900382     1935    30P             Reinmuth 1             
     900383     1950    30P             Reinmuth 1             
     900384     1958    30P             Reinmuth 1             
     900385     1965    30P             Reinmuth 1             
     900386     1973    30P             Reinmuth 1             
     900387     1980    30P             Reinmuth 1             
     900388     1988    30P             Reinmuth 1             
     900389     1995    30P             Reinmuth 1             
     900390     2011    30P             Reinmuth 1             
     900391     1929    31P             Schwassmann-Wachmann 2 
     900392     1935    31P             Schwassmann-Wachmann 2 
     900393     1942    31P             Schwassmann-Wachmann 2 
     900394     1948    31P             Schwassmann-Wachmann 2 
     900395     1955    31P             Schwassmann-Wachmann 2 
     900396     1961    31P             Schwassmann-Wachmann 2 
     900397     1968    31P             Schwassmann-Wachmann 2 
     900398     1974    31P             Schwassmann-Wachmann 2 
     900399     1981    31P             Schwassmann-Wachmann 2 
     900400     1987    31P             Schwassmann-Wachmann 2 
     900401     1994    31P             Schwassmann-Wachmann 2 
     900402     2011    31P             Schwassmann-Wachmann 2 
     900403     1927    32P             Comas Sola             
     900404     1935    32P             Comas Sola             
     900405     1944    32P             Comas Sola             
     900406     1952    32P             Comas Sola             
     900407     1961    32P             Comas Sola             
     900408     1969    32P             Comas Sola             
     900409     1978    32P             Comas Sola             
     900410     1987    32P             Comas Sola             
     900411     2006    32P             Comas Sola             
     900412     1909    33P             Daniel                 
     900413     1937    33P             Daniel                 
     900414     1943    33P             Daniel                 
     900415     1950    33P             Daniel                 
     900416     1964    33P             Daniel                 
     900417     1978    33P             Daniel                 
     900418     1985    33P             Daniel                 
     900419     1992    33P             Daniel                 
     900420     2009    33P             Daniel                 
     900421     1927    34D             Gale                   
     900422     1938    34D             Gale                   
     900423     1788    35P             Herschel-Rigollet      
     900424     1939    35P             Herschel-Rigollet      
     900425     1926    36P             Whipple                
     900426     1933    36P             Whipple                
     900427     1941    36P             Whipple                
     900428     1948    36P             Whipple                
     900429     1955    36P             Whipple                
     900430     1963    36P             Whipple                
     900431     1970    36P             Whipple                
     900432     1978    36P             Whipple                
     900433     1986    36P             Whipple                
     900434     1995    36P             Whipple                
     900435     2010    36P             Whipple                
     900436     1929    37P             Forbes                 
     900437     1942    37P             Forbes                 
     900438     1948    37P             Forbes                 
     900439     1961    37P             Forbes                 
     900440     1974    37P             Forbes                 
     900441     1980    37P             Forbes                 
     900442     2005    37P             Forbes                 
     900443     2011    37P             Forbes                 
     900444     1867    38P             Stephan-Oterma         
     900445     1942    38P             Stephan-Oterma         
     900446     1981    38P             Stephan-Oterma         
     900447     1942    39P             Oterma                 
     900448     1950    39P             Oterma                 
     900449     1958    39P             Oterma                 
     900450     2001    39P             Oterma                 
     900451     1939    40P             Vaisala 1              
     900452     1949    40P             Vaisala 1              
     900453     1960    40P             Vaisala 1              
     900454     1971    40P             Vaisala 1              
     900455     1982    40P             Vaisala 1              
     900456     1993    40P             Vaisala 1              
     900457     2004    40P             Vaisala 1              
     900458     1858    41P             Tuttle-Giacobini-Kresak
     900459     1907    41P             Tuttle-Giacobini-Kresak
     900460     1951    41P             Tuttle-Giacobini-Kresak
     900461     1962    41P             Tuttle-Giacobini-Kresak
     900462     1973    41P             Tuttle-Giacobini-Kresak
     900463     1979    41P             Tuttle-Giacobini-Kresak
     900464     1990    41P             Tuttle-Giacobini-Kresak
     900465     1995    41P             Tuttle-Giacobini-Kresak
     900466     2001    41P             Tuttle-Giacobini-Kresak
     900467     2006    41P             Tuttle-Giacobini-Kresak
     900468     1929    42P             Neujmin 3              
     900469     1951    42P             Neujmin 3              
     900470     1972    42P             Neujmin 3              
     900471     2004    42P             Neujmin 3              
     900472     1925    43P             Wolf-Harrington        
     900473     1952    43P             Wolf-Harrington        
